	_id	_score	entrezgene
98	116236	3.5807848	116236
99	116534	3.5807848	116534
100	116729	3.5807848	116729
101	116832	3.5807848	116832
102	116844	3.5807848	116844
103	116969	3.5807848	116969
104	116983	3.5807848	116983
105	116988	3.5807848	116988
106	117157	3.5807848	117157
107	117246	3.5807848	117246
108	117532	3.5807848	117532
109	117854	3.5807848	117854
110	118472	3.5807848	118472
111	118491	3.5807848	118491
112	119	3.5807848	119
113	120066	3.5807848	120066
114	120237	3.5807848	120237
115	120775	3.5807848	120775
116	120787	3.5807848	120787
117	120939	3.5807848	120939
118	121273	3.5807848	121273
119	121355	3.5807848	121355
120	121665	3.5807848	121665
121	122416	3.5807848	122416
122	122651	3.5807848	122651
123	122740	3.5807848	122740
124	122769	3.5807848	122769
125	122961	3.5807848	122961
126	123041	3.5807848	123041
127	123591	3.5807848	123591
128	1240	3.5807848	1240
129	124044	3.5807848	124044
130	124152	3.5807848	124152
131	124359	3.5807848	124359
132	124599	3.5807848	124599
133	124602	3.5807848	124602
134	124626	3.5807848	124626
135	124739	3.5807848	124739
136	124842	3.5807848	124842
137	124936	3.5807848	124936
138	341032	3.5807848	341032
139	256933	3.5807848	256933
140	102724631	3.5807848	102724631
141	51503	3.5807848	51503
142	139081	3.5807848	139081
143	11259	3.5807848	11259
144	79295	3.5807848	79295
145	23588	3.5807848	23588
146	56971	3.5807848	56971
147	125150	3.5807848	125150
148	126014	3.5807848	126014
149	3049	3.5807848	3049
150	80723	3.5807848	80723
151	51096	3.5807848	51096
152	10186	3.5807848	10186
153	55283	3.5807848	55283
154	11278	3.5807848	11278
155	54754	3.5807848	54754
156	89857	3.5807848	89857
157	11153	3.5807848	11153
158	125958	3.5807848	125958
159	126069	3.5807848	126069
160	126259	3.5807848	126259
161	1264	3.5807848	1264
162	126526	3.5807848	126526
163	127074	3.5807848	127074
164	1271	3.5807848	1271
165	127391	3.5807848	127391
166	127396	3.5807848	127396
167	127428	3.5807848	127428
168	127435	3.5807848	127435
169	127550	3.5807848	127550
170	127579	3.5807848	127579
171	127687	3.5807848	127687
172	127707	3.5807848	127707
173	127733	3.5807848	127733
174	127795	3.5807848	127795
175	1	3.5807848	1
176	1000	3.5807848	1000
177	100049579	3.5807848	100049579
178	10009	3.5807848	10009
179	100127971	3.5807848	100127971
180	100127983	3.5807848	100127983
181	100128001	3.5807848	100128001
182	100128107	3.5807848	100128107
183	100128265	3.5807848	100128265
184	100128429	3.5807848	100128429
185	100128498	3.5807848	100128498
186	100128551	3.5807848	100128551
187	100128905	3.5807848	100128905
188	100128950	3.5807848	100128950
189	100129042	3.5807848	100129042
190	100129112	3.5807848	100129112
191	100129275	3.5807848	100129275
192	100129307	3.5807848	100129307
193	100129408	3.5807848	100129408
194	100129528	3.5807848	100129528
195	100129763	3.5807848	100129763
196	100129775	3.5807848	100129775
197	100129840	3.5807848	100129840
198	100129852	3.5807848	100129852
199	100130051	3.5807848	100130051
200	100130152	3.5807848	100130152
201	100130311	3.5807848	100130311
202	100130436	3.5807848	100130436
203	100130520	3.5807848	100130520
204	100130657	3.5807848	100130657
205	100130741	3.5807848	100130741
206	100130967	3.5807848	100130967
207	100131004	3.5807848	100131004
208	100131129	3.5807848	100131129
209	100131150	3.5807848	100131150
210	100131244	3.5807848	100131244
211	100131390	3.5807848	100131390
212	100131439	3.5807848	100131439
213	100131821	3.5807848	100131821
214	100131840	3.5807848	100131840
215	100131864	3.5807848	100131864
216	100132069	3.5807848	100132069
217	100132071	3.5807848	100132071
218	100132247	3.5807848	100132247
219	100132386	3.5807848	100132386
220	100132418	3.5807848	100132418
221	100132463	3.5807848	100132463
222	100132800	3.5807848	100132800
223	100132874	3.5807848	100132874
224	100132932	3.5807848	100132932
225	100133093	3.5807848	100133093
226	100133790	3.5807848	100133790
